game,date,age,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,minus_plus
31,1/8/1993,29-326,CHI,MIL,W (+25),35:00:00,15,26,0.577,2,5,0.4,3,3,1,3,5,8,7,4,0,2,35,32.5,
32,1/9/1993,29-327,CHI,PHI,L (-13),44:00:00,13,36,0.361,0,4,0,4,4,1,2,9,11,6,2,0,3,30,15.3,
33,1/12/1993,29-330,CHI,ORL,W (+16),37:00:00,9,22,0.409,0,1,0,5,6,0.833,2,6,8,4,3,3,3,23,18.9,
34,1/15/1993,29-333,CHI,GSW,W (+21),38:00:00,10,19,0.526,1,2,0.5,5,5,1,2,10,12,10,5,2,2,26,32.1,
35,1/16/1993,29-334,CHI,ORL,L (-4),47:00:00,27,49,0.551,1,5,0.2,9,11,0.818,4,2,6,1,5,0,2,64,44.8,
36,1/18/1993,29-336,CHI,BOS,W (+10),30:00:00,10,22,0.455,0,1,0,9,10,0.9,4,4,8,3,4,1,2,29,25.6,
37,1/21/1993,29-339,CHI,NJN,W (+13),39:00:00,12,24,0.5,2,4,0.5,4,4,1,1,2,3,4,4,0,3,30,22.3,
38,1/22/1993,29-340,CHI,CHH,L (-8),43:00:00,10,26,0.385,0,2,0,8,11,0.727,2,4,6,2,3,1,1,28,17.7,
39,1/24/1993,29-342,CHI,SAS,L (-4),44:00:00,16,35,0.457,0,2,0,10,11,0.909,5,6,11,3,4,2,4,42,31.1,
40,1/26/1993,29-344,CHI,DAL,W (+35),27:00:00,7,15,0.467,1,4,0.25,0,0,,2,8,10,4,3,0,3,15,12.7,
41,1/28/1993,29-346,CHI,HOU,L (-11),39:00:00,12,27,0.444,1,1,1,1,2,0.5,0,6,6,4,5,0,3,26,17.3,
42,1/30/1993,29-348,CHI,DEN,L (-7),41:00:00,14,31,0.452,0,2,0,11,15,0.733,3,4,7,5,4,1,3,39,29,
43,2/1/1993,29-350,CHI,UTA,W (+4),43:00:00,13,28,0.464,1,3,0.333,10,14,0.714,3,4,7,2,1,1,4,37,23.4,
44,2/3/1993,29-352,CHI,SAC,W (+19),39:00:00,14,26,0.538,2,2,1,6,7,0.857,0,3,3,2,2,2,3,36,23.7,
45,2/4/1993,29-353,CHI,LAC,W (+2),47:00:00,13,34,0.382,0,3,0,7,7,1,2,4,6,4,2,1,3,33,17.5,
46,2/7/1993,29-356,CHI,POR,W (+10),43:00:00,13,28,0.464,4,7,0.571,4,6,0.667,3,8,11,5,2,2,1,34,28.8,
47,2/10/1993,29-359,CHI,IND,W (+11),42:00:00,16,27,0.593,1,3,0.333,7,9,0.778,1,8,9,8,6,0,3,40,37.6,
48,2/13/1993,29-362,CHI,CLE,L (-5),43:00:00,12,22,0.545,0,3,0,1,2,0.5,1,5,6,5,3,1,3,25,19.6,
49,2/15/1993,29-364,CHI,SAC,W (+18),37:00:00,12,21,0.571,0,2,0,8,10,0.8,3,5,8,6,3,1,3,32,28.6,
50,2/17/1993,30-000,CHI,UTA,W (+18),34:00:00,10,25,0.4,2,6,0.333,5,7,0.714,4,4,8,6,3,0,3,27,20.1,
